sport,home_team,away_team,network,viewership_millions,season,is_estimate,source,notes,is_rivalry,is_ranked_matchup,is_prime_time,conference,game_type
football,Virginia,Virginia Tech,ESPN,1.247,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Saturday 7PM ET,0,0,1,Unknown,regular_season
football,App State,Georgia Southern,ESPN,1.2,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Birmingham Bowl; Monday 2PM ET,0,0,0,Unknown,postseason
football,Delaware,Louisiana,ESPN,1.185,2025,0,TV Media Blog,TV Media Blog chart bi3yR; 68 Ventures Bowl; Wednesday 8:30PM ET,0,0,1,Unknown,postseason
football,USF,Old Dominion,ESPN,1.183,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Cure Bowl; Wednesday 5PM ET,0,0,0,Unknown,postseason
football,Miami,Syracuse,ESPN,1.159,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,BYU,Stanford,ESPN,1.09,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 10:15PM ET,0,0,0,Unknown,regular_season
football,Wisconsin,Washington,BTN,1.08,2025,0,TV Media Blog,TV Media Blog chart Qr3h7; Saturday 4:30PM ET,0,0,0,Unknown,regular_season
football,Rutgers,Penn State,BTN,1.029,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Saturday 3:30PM ET,0,0,0,Unknown,regular_season
football,SMU,Baylor,CW,1.003,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,Kansas,Utah,ESPN,0.998,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Friday 12PM ET,0,0,0,Unknown,regular_season
football,Mississippi State,Arizona State,ESPN2,0.977,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 7:30PM ET,0,0,1,Unknown,regular_season
football,Jacksonville State,Troy,ESPN,0.959,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Salute to Veterans Bowl; Tuesday 9PM ET,0,0,1,Unknown,postseason
football,Minnesota or FIU/Penn State,Northwestern State,BTN,0.954,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 12:00PM ET,0,0,0,Unknown,regular_season
football,Purdue OR Akron/Nebraska,Southern Illinois,BTN,0.949,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 7:30PM ET,0,0,1,Unknown,regular_season
football,West Virginia,Texas Tech,ESPN,0.827,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Saturday 12PM ET,0,0,0,Unknown,regular_season
football,Louisville,James Madison,ESPN2,0.818,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Friday 7:00PM ET,0,0,1,Unknown,regular_season
football,Western Michigan,Kennesaw State,ESPN,0.808,2025,0,TV Media Blog,TV Media Blog chart bi3yR; Myrtle Beach Bowl; Friday 11AM ET,0,0,0,Unknown,postseason
football,Kansas State,Army West Point,ESPN,0.791,2025,0,TV Media Blog,TV Media Blog chart Ftn3z; Saturday 7:00PM ET,0,0,1,Unknown,regular_season
football,Memphis,Navy,ESPN,0.718,2025,0,TV Media Blog,TV Media Blog chart yV7zt; Thursday 7:30PM ET,0,0,1,Unknown,regular_season
football,Montana State,SFA,ESPN,0.701,2025,0,TV Media Blog,TV Media Blog chart bi3yR; FCS QF; Friday 9PM ET,0,0,1,Unknown,postseason
